NP_001097747,"NP_649054,NP_523515,NP_524326","1114.383902,945.3709641,8355.306354"
NP_524326,"NP_001285149,NP_001097747","23.66021845,14.24171094,21.25366544"
NP_523515,"NP_001097747,NP_001285149","17.59031948,5.83084542,28.77419321"
NP_524344,"NP_609013,NP_001285149","19.07682535,23.27178128,21.90762438"
NP_001285149,"NP_524326,NP_523515,NP_524344","7.680280335,38.80350226,5.231671493"
NP_609013,"NP_524344,NP_650964","9.166786207,20.89816279,4.250733088"
NP_649054,"NP_001097747,NP_788510","4.087891146,43.75714085,0.980938405"
NP_788510,"NP_649054,NP_650964","6.069898975,13.2613033,1.96187681"
NP_650964,"NP_609013,NP_788510","9.538412674,14.29331134,6.866568834"
